name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned
DPPO,104878883547.77,31. 7. 2019,2019-07-31,2019,7,31,212,DPPO,2019 DPPO,2000-07-31
DPFO                    závislá činnost,120502061059.31,31. 7. 2019,2019-07-31,2019,7,31,212,DPFO závislá činnost,2019 DPFO závislá činnost,2000-07-31
DPFO                    zvláštní sazba,11449789663.04,31. 7. 2019,2019-07-31,2019,7,31,212,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-07-31
DPFO                    podávajících přiznání,3320629813.37,31. 7. 2019,2019-07-31,2019,7,31,212,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-07-31
Daň                    z hazardních her,2965749920.87,31. 7. 2019,2019-07-31,2019,7,31,212,Daň z hazardních her,2019 Daň z hazardních her,2000-07-31
Daň                    z technických her,4208903962.92,31. 7. 2019,2019-07-31,2019,7,31,212,Daň z technických her,2019 Daň z technických her,2000-07-31
DPH,247316941810.35,15. 8. 2019,2019-08-15,2019,8,15,227,DPH,2019 DPH,2000-08-15
DPPO,103484350450.17,15. 8. 2019,2019-08-15,2019,8,15,227,DPPO,2019 DPPO,2000-08-15
DPFO                    závislá činnost,132419122798.03,15. 8. 2019,2019-08-15,2019,8,15,227,DPFO závislá činnost,2019 DPFO závislá činnost,2000-08-15
DPFO                    zvláštní sazba,12156530681.55,15. 8. 2019,2019-08-15,2019,8,15,227,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-08-15
DPFO                    podávajících přiznání,3418921690.6,15. 8. 2019,2019-08-15,2019,8,15,227,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-08-15
Daň                    z hazardních her,2939275872.87,15. 8. 2019,2019-08-15,2019,8,15,227,Daň z hazardních her,2019 Daň z hazardních her,2000-08-15
Daň                    z technických her,4304761980.68,15. 8. 2019,2019-08-15,2019,8,15,227,Daň z technických her,2019 Daň z technických her,2000-08-15
DPH,276296092548.54,30. 8. 2019,2019-08-30,2019,8,30,242,DPH,2019 DPH,2000-08-30
DPPO,104164749155.7,30. 8. 2019,2019-08-30,2019,8,30,242,DPPO,2019 DPPO,2000-08-30
DPFO                    závislá činnost,139301384063.61,30. 8. 2019,2019-08-30,2019,8,30,242,DPFO závislá činnost,2019 DPFO závislá činnost,2000-08-30
DPFO                    zvláštní sazba,13262418285.39,30. 8. 2019,2019-08-30,2019,8,30,242,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-08-30
DPFO                    podávajících přiznání,3572393731.89,30. 8. 2019,2019-08-30,2019,8,30,242,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-08-30
Daň                    z hazardních her,2961635957.75,30. 8. 2019,2019-08-30,2019,8,30,242,Daň z hazardních her,2019 Daň z hazardních her,2000-08-30
Daň                    z technických her,4361449238.49,30. 8. 2019,2019-08-30,2019,8,30,242,Daň z technických her,2019 Daň z technických her,2000-08-30
DPH,278098156629.13,13. 9. 2019,2019-09-13,2019,9,13,256,DPH,2019 DPH,2000-09-13
DPPO,130018867213.4,13. 9. 2019,2019-09-13,2019,9,13,256,DPPO,2019 DPPO,2000-09-13
DPFO                    závislá činnost,149602521156.82,13. 9. 2019,2019-09-13,2019,9,13,256,DPFO závislá činnost,2019 DPFO závislá činnost,2000-09-13
DPFO                    zvláštní sazba,14292556612.7,13. 9. 2019,2019-09-13,2019,9,13,256,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-09-13
DPFO                    podávajících přiznání,4979667719.61,13. 9. 2019,2019-09-13,2019,9,13,256,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-09-13
Daň                    z hazardních her,2962399702.75,13. 9. 2019,2019-09-13,2019,9,13,256,Daň z hazardních her,2019 Daň z hazardních her,2000-09-13
